order_id,customer_id,order_timestamp,promised_delivery_date,actual_delivery_date,product_name,category,quantity,gross_sales_usd,discount_rate,net_sales_usd,cost_usd,sales_channel,shipping_mode,warehouse,sales_region,returned_flag,satisfaction_score,customer_segment
O500025,C30916,2025-05-30 09:00:00,2025-06-06,2025-06-10,Mouse,Electronics,1.0,37.44,0.0,37.44,22.82,,Express ,BER-WH3,East,False,3.0,Consumer
O500026,C31342,2025-12-14 18:00:00,2025-12-21,2025-12-21,USB-C Hub,Accessories,1.0,44.05,0.15,37.44,21.98,online,Standard,BER-WH3,Central,False,2.0,Enterprise
O500027,C31262,2025-12-13 17:00:00,2025-12-17,2025-12-18,USB-C Hub,Accessories,4.0,167.54,0.05,159.16,105.95,Marketplace,Express,BER-WH3,Central,False,3.0,smb
O500028,C31462,2025-09-11 21:00:00,2025-09-18,2025-09-20,Notebook Pack,Supplies,3.0,69.22,0.25,51.91,28.72,online,standard,TOR-WH1,East,False,3.0,smb
O500029,C30179,2025-07-29 18:00:00,2025-08-05,2025-08-09,Notebook Pack,Supplies,3.0,58.46,0.25,43.84,32.32,B2B Sales,Standard,,West,False,3.0,Enterprise
O500030,C30896,2025-08-07 15:00:00,2025-08-10,2025-08-13,Printer Ink,Supplies,4.0,196.58,0.0,196.58,124.57,online,Express ,BER-WH3,West,True,2.0,
O500031,C30740,2025-06-21 18:00:00,2025-06-24,2025-06-25,Webcam,Electronics,1.0,121.41,0.25,91.06,69.92,B2B Sales,Standard,,EU,True,2.0,smb
O500032,C31251,19/09/2025 06:00,2025-09-23,2025-09-25,Printer Ink,Supplies,4.0,203.68,0.1,183.31,108.69,Retail,standard,BER-WH3,Central,False,2.0,Consumer
O500033,C31611,2025-05-27 05:00:00,2025-05-30,06/03/2025,Notebook Pack,Supplies,2.0,36.2,0.15,30.77,24.29,B2B Sales,Standard,DAL-WH2,EU,False,5.0,SMB
O500034,C30326,2025-05-27 05:00:00,2025-05-31,2025-05-30,Notebook Pack,Supplies,3.0,57.06,0.05,54.21,34.23,Marketplace,Express,,West,False,4.0,
O500035,C31533,2025-06-30 15:00:00,2025-07-02,2025-07-14,"Monitor 27""",Electronics,3.0,1013.17,0.0,1013.17,694.36,Marketplace,standard,DAL-WH2,West,False,5.0,Consumer
O500036,C30223,2025-10-04 10:00:00,2025-10-08,2025-10-11,Mouse,Electronics,1.0,41.21,0.15,35.03,21.39,Retail,Express ,DAL-WH2,west,False,5.0,
O500037,C30343,2025-06-14 04:00:00,2025-06-16,2025-06-16,USB-C Hub,Accessories,2.0,92.5,0.25,69.38,55.23,online,Standard,BER-WH3,West,False,4.0,Enterprise
O500038,C30661,2025-06-07 14:00:00,2025-06-09,2025-06-12,Webcam,Electronics,3.0,354.18,0.05,336.47,226.02,Online,Express,VAN-WH1,Central,False,5.0,
O500039,C31194,2025-12-24 01:00:00,2025-12-31,2025-12-31,Mouse,Electronics,2.0,96.63,0.1,86.97,64.22,Online,Express,VAN-WH1,west,False,4.0,Consumer
O500040,C30525,05/08/2025 15:00,2025-08-10,2025-08-11,Webcam,Electronics,2.0,205.88,0.25,154.41,110.41,Retail,Express ,DAL-WH2,West,False,2.0,Consumer
O500041,C30586,2025-08-09 01:00:00,2025-08-16,2025-08-19,Mouse,Electronics,1.0,42.28,0.2,33.82,18.91,Marketplace,Express,TOR-WH1,EU,False,3.0,Consumer
O500042,C30470,2025-02-02 21:00:00,2025-02-06,2025-02-09,Laptop Stand,Accessories,2.0,74.83,0.15,63.61,45.4,B2B Sales,Same Day,TOR-WH1,west,False,,SMB
O500043,C30529,2025-07-01 11:00:00,2025-07-05,2025-07-07,Desk Lamp,Furniture,1.0,53.84,0.2,43.07,31.08,B2B Sales,Standard,DAL-WH2,East,False,4.0,Enterprise
O500044,C31036,2025-03-06 12:00:00,2025-03-11,03/12/2025,Desk Lamp,Furniture,5.0,282.15,0.0,282.15,214.42,online,Standard,TOR-WH1,EU,False,2.0,SMB
O500045,C30804,2025-06-24 00:00:00,2025-06-29,2025-06-30,Keyboard,Electronics,2.0,149.8,0.2,119.84,87.68,Marketplace,Standard,BER-WH3,EU,False,3.0,smb
O500046,C31181,2025-12-18 11:00:00,2025-12-22,2025-12-22,Desk Lamp,Furniture,1.0,52.59,0.15,44.7,32.97,online,Express ,TOR-WH1,West,False,3.0,smb
O500047,C30117,2025-09-08 10:00:00,2025-09-11,2025-09-15,Printer Ink,Supplies,1.0,39.13,0.15,33.26,21.68,Online,Standard,VAN-WH1,west,False,5.0,smb
O500048,C30615,22/07/2025 12:00,2025-07-26,2025-07-29,Laptop Stand,Accessories,1.0,33.69,0.25,25.27,17.94,online,standard,BER-WH3,EU,False,4.0,smb
O500049,C31270,2025-12-27 00:00:00,2026-01-02,2026-01-01,Mouse,Electronics,2.0,85.34,0.1,76.81,51.66,online,Same Day,DAL-WH2,EU,False,3.0,
O500050,C31306,2025-10-18 02:00:00,2025-10-22,2025-10-22,Printer Ink,Supplies,4.0,190.46,0.25,142.84,110.63,B2B Sales,Express ,DAL-WH2,west,False,4.0,smb
O500051,C31457,2025-05-16 15:00:00,2025-05-22,2025-05-25,Desk Lamp,Furniture,1.0,61.18,0.0,61.18,47.72,B2B Sales,Express ,TOR-WH1,west,False,3.0,Consumer
O500052,C30417,2025-12-12 14:00:00,2025-12-17,2025-12-19,Notebook Pack,Supplies,1.0,17.4,0.1,15.66,9.03,Marketplace,Same Day,DAL-WH2,West,False,3.0,smb
O500053,C30115,2025-06-12 20:00:00,2025-06-14,2025-06-17,Webcam,Electronics,3.0,322.76,0.1,290.48,217.26,B2B Sales,Express,BER-WH3,EU,False,4.0,
O500054,C30779,2025-11-04 16:00:00,2025-11-07,2025-11-06,Office Chair,Furniture,2.0,453.56,0.15,385.53,251.17,online,standard,VAN-WH1,west,False,3.0,Consumer
O500055,C31271,2025-07-18 13:00:00,2025-07-21,07/22/2025,Laptop Stand,Accessories,2.0,75.17,0.25,56.38,36.38,Online,standard,VAN-WH1,EU,False,4.0,SMB
O500056,C30423,15/12/2025 16:00,2025-12-21,2025-12-21,Office Chair,Furniture,1.0,249.61,0.05,237.13,151.55,Marketplace,Same Day,BER-WH3,West,True,2.0,smb
O500057,C31582,2025-04-17 16:00:00,2025-04-21,2025-04-22,Notebook Pack,Supplies,2.0,34.4,0.15,29.24,18.9,Marketplace,Express ,,Central,False,3.0,
O500058,C31777,2025-06-01 03:00:00,2025-06-07,2025-06-06,Printer Ink,Supplies,2.0,79.64,0.25,59.73,46.35,B2B Sales,Standard,VAN-WH1,EU,True,2.0,Consumer
O500059,C30839,2025-02-17 06:00:00,2025-02-22,2025-02-21,Printer Ink,Supplies,5.0,206.03,0.0,206.03,149.9,online,Express ,,Central,False,3.0,Enterprise
O500060,C31111,2025-05-09 08:00:00,2025-05-16,2025-05-17,Desk Lamp,Furniture,4.0,215.28,0.05,204.52,137.51,Retail,Express,DAL-WH2,West,False,3.0,Consumer
O500061,C31248,2025-10-02 03:00:00,2025-10-07,2025-10-07,Desk Lamp,Furniture,4.0,244.93,0.25,183.7,103.03,Online,Express ,DAL-WH2,East,False,4.0,smb
O500062,C30459,2025-11-06 10:00:00,2025-11-10,2025-11-09,Mouse,Electronics,2.0,74.37,0.15,63.21,43.82,Retail,standard,,west,True,1.0,SMB
O500063,C30361,2025-09-14 18:00:00,2025-09-17,2025-09-19,"Monitor 27""",Electronics,1.0,294.94,0.15,250.7,175.29,Marketplace,Express ,TOR-WH1,East,False,4.0,
O500064,C30378,20/05/2025 04:00,2025-05-24,2025-05-24,USB-C Hub,Accessories,2.0,86.65,0.2,69.32,49.21,online,Standard,TOR-WH1,East,False,5.0,SMB
O500065,C30917,2025-08-14 17:00:00,2025-08-21,2025-08-23,Office Chair,Furniture,2.0,396.71,0.25,297.53,208.73,Marketplace,Same Day,,west,False,4.0,SMB
O500066,C30870,2025-08-02 21:00:00,2025-08-08,08/08/2025,Webcam,Electronics,1.0,114.32,0.15,97.17,59.16,Marketplace,Express,,west,False,5.0,Enterprise
O500067,C30510,2025-02-20 11:00:00,2025-02-23,2025-02-24,USB-C Hub,Accessories,2.0,104.57,0.0,104.57,57.52,Marketplace,Same Day,,west,True,1.0,Consumer
O500068,C30241,2025-02-21 17:00:00,2025-02-25,2025-02-28,Webcam,Electronics,1.0,120.67,0.1,108.6,76.31,online,Express ,,EU,False,3.0,
O500069,C30463,2025-10-29 04:00:00,2025-11-02,2025-11-04,Printer Ink,Supplies,1.0,44.17,0.0,44.17,31.71,online,Standard,TOR-WH1,Central,False,4.0,Consumer
O500070,C31166,2025-03-07 07:00:00,2025-03-09,2025-03-09,"Monitor 27""",Electronics,3.0,765.82,0.25,574.37,433.13,Retail,Same Day,TOR-WH1,EU,False,4.0,
O500071,C31273,2025-12-22 09:00:00,2025-12-29,2026-01-04,Office Chair,Furniture,4.0,1001.38,0.2,801.1,565.08,Marketplace,Same Day,DAL-WH2,EU,False,2.0,
O500072,C30057,23/04/2025 20:00,2025-04-25,2025-04-25,USB-C Hub,Accessories,1.0,42.22,0.25,31.66,24.26,Marketplace,Express,VAN-WH1,West,False,3.0,smb
O500073,C31014,2025-10-12 07:00:00,2025-10-15,2025-10-17,Keyboard,Electronics,2.0,176.33,0.2,141.06,104.06,Retail,standard,TOR-WH1,Central,False,4.0,
O500074,C30204,2025-02-15 18:00:00,2025-02-18,2025-02-21,Office Chair,Furniture,1.0,209.87,0.0,209.87,123.55,Marketplace,Express,,Central,False,4.0,Enterprise
O500075,C31088,2025-05-02 19:00:00,2025-05-04,2025-05-04,Laptop Stand,Accessories,1.0,41.93,0.2,33.54,25.4,online,Express,TOR-WH1,Central,False,3.0,Consumer
O500076,C31683,2025-02-18 13:00:00,2025-02-21,2025-02-23,Notebook Pack,Supplies,3.0,68.61,0.15,58.32,35.73,online,Express ,BER-WH3,East,False,3.0,
O500077,C30974,2025-08-17 10:00:00,2025-08-20,08/24/2025,Desk Lamp,Furniture,1.0,63.72,0.0,63.72,43.68,Marketplace,Express,DAL-WH2,EU,False,,SMB
O500078,C31147,2025-05-22 21:00:00,2025-05-28,2025-05-31,Desk Lamp,Furniture,1.0,50.86,0.0,50.86,35.35,Marketplace,Standard,DAL-WH2,EU,False,2.0,Enterprise
O500079,C31241,2025-02-07 09:00:00,2025-02-11,2025-02-18,Laptop Stand,Accessories,2.0,82.67,0.25,62.0,37.64,B2B Sales,Standard,,West,False,5.0,
O500080,C31656,08/08/2025 21:00,2025-08-15,2025-08-19,Printer Ink,Supplies,1.0,45.25,0.05,42.99,34.24,Marketplace,Express,TOR-WH1,West,False,3.0,SMB
O500081,C30685,2025-09-08 16:00:00,2025-09-12,2025-09-13,Notebook Pack,Supplies,3.0,63.96,0.15,54.37,40.24,Retail,standard,VAN-WH1,west,False,2.0,SMB
O500082,C31094,2025-05-04 17:00:00,2025-05-09,2025-05-11,Notebook Pack,Supplies,2.0,45.24,0.05,42.98,25.19,Online,Standard,,East,False,4.0,
O500083,C30583,2025-05-18 06:00:00,2025-05-21,2025-05-24,USB-C Hub,Accessories,1.0,48.01,0.25,36.01,21.61,Retail,Standard,VAN-WH1,west,False,2.0,smb
O500084,C30038,2025-11-24 14:00:00,2025-11-28,2025-11-30,USB-C Hub,Accessories,3.0,138.94,0.2,111.15,70.62,Marketplace,standard,VAN-WH1,EU,False,3.0,smb
O500085,C31001,2025-01-27 22:00:00,2025-01-31,2025-01-30,USB-C Hub,Accessories,4.0,165.54,0.15,140.71,82.8,Marketplace,Standard,VAN-WH1,EU,True,2.0,smb
O500086,C31255,2025-07-08 16:00:00,2025-07-11,2025-07-11,Webcam,Electronics,3.0,282.25,0.1,254.03,168.59,B2B Sales,Express ,BER-WH3,West,False,4.0,SMB
O500087,C31296,2025-03-20 16:00:00,2025-03-23,2025-03-25,Notebook Pack,Supplies,4.0,78.01,0.0,78.01,56.46,Online,Standard,TOR-WH1,Central,False,3.0,Enterprise
O500088,C30915,24/08/2025 10:00,2025-08-27,08/26/2025,Mouse,Electronics,1.0,48.12,0.15,40.9,29.57,B2B Sales,standard,VAN-WH1,East,False,5.0,Enterprise
O500089,C30028,2025-04-04 18:00:00,2025-04-11,2025-04-13,Webcam,Electronics,6.0,678.35,0.0,678.35,399.38,Marketplace,Express,DAL-WH2,EU,True,3.0,Enterprise
O500090,C31793,2025-08-26 13:00:00,2025-09-01,2025-09-01,Notebook Pack,Supplies,1.0,21.93,0.1,19.74,12.77,Marketplace,Express,TOR-WH1,East,False,3.0,
O500091,C30535,2025-03-29 22:00:00,2025-03-31,2025-03-30,"Monitor 27""",Electronics,3.0,890.21,0.25,667.66,528.24,Retail,Express,TOR-WH1,West,True,2.0,smb
O500092,C31061,2025-03-26 21:00:00,2025-03-28,2025-03-29,Mouse,Electronics,2.0,79.72,0.15,67.76,49.48,online,Express,VAN-WH1,EU,False,4.0,SMB
O500093,C31313,2025-08-23 08:00:00,2025-08-28,2025-08-29,Office Chair,Furniture,1.0,276.24,0.0,276.24,171.99,online,Express ,DAL-WH2,west,False,,Enterprise
O500094,C30974,2025-02-08 21:00:00,2025-02-15,2025-02-15,Office Chair,Furniture,3.0,801.74,0.1,721.57,570.58,Retail,Express ,TOR-WH1,Central,False,,Enterprise
O500095,C30822,2025-07-28 02:00:00,2025-08-03,2025-08-05,Laptop Stand,Accessories,1.0,31.64,0.05,30.06,21.16,Retail,Express ,BER-WH3,Central,False,5.0,SMB
O500096,C30022,10/12/2025 20:00,2025-12-12,2025-12-22,Laptop Stand,Accessories,2.0,74.53,0.05,70.8,55.76,Retail,standard,TOR-WH1,East,False,5.0,Enterprise
O500097,C30605,2025-04-20 01:00:00,2025-04-25,2025-04-26,Laptop Stand,Accessories,3.0,115.6,0.25,86.7,68.1,Retail,Express ,VAN-WH1,west,False,3.0,Enterprise
O500098,C31500,2025-07-30 22:00:00,2025-08-05,2025-08-08,Keyboard,Electronics,2.0,175.43,0.15,149.12,110.35,online,Express,TOR-WH1,East,False,5.0,SMB
O500099,C30086,2025-07-30 14:00:00,2025-08-05,08/07/2025,Notebook Pack,Supplies,1.0,19.53,0.0,19.53,14.53,Marketplace,Express ,,East,False,3.0,smb
O500100,C30830,2025-08-23 16:00:00,2025-08-28,2025-08-30,Office Chair,Furniture,2.0,541.56,0.25,406.17,232.33,online,Same Day,,East,False,4.0,Enterprise
O500101,C30840,2025-05-18 08:00:00,2025-05-24,2025-05-25,Office Chair,Furniture,3.0,810.16,0.1,729.14,532.98,Retail,Express ,DAL-WH2,west,True,,SMB
O500102,C31569,2025-05-25 18:00:00,2025-05-30,2025-05-29,Keyboard,Electronics,2.0,160.46,0.1,144.41,103.75,B2B Sales,Express ,TOR-WH1,West,False,4.0,Consumer
O500103,C30645,2025-01-18 02:00:00,2025-01-20,2025-01-19,Laptop Stand,Accessories,2.0,88.91,0.1,80.02,50.48,Marketplace,standard,,West,False,3.0,Consumer
O500104,C30397,11/10/2025 01:00,2025-10-17,2025-10-17,"Monitor 27""",Electronics,4.0,1259.44,0.05,1196.47,698.45,Retail,Express ,VAN-WH1,west,False,3.0,
O500105,C30747,2025-12-12 00:00:00,2025-12-14,2025-12-27,Webcam,Electronics,2.0,173.47,0.05,164.8,127.23,Marketplace,Express,BER-WH3,West,False,5.0,Enterprise
O500106,C30422,2025-10-10 00:00:00,2025-10-16,2025-10-16,Laptop Stand,Accessories,2.0,66.21,0.0,66.21,41.48,Retail,standard,,West,False,1.0,Consumer
O500107,C30153,2025-01-09 10:00:00,2025-01-14,2025-01-14,Office Chair,Furniture,2.0,507.63,0.15,431.49,282.1,Online,Express,DAL-WH2,EU,True,2.0,smb
O500108,C30485,2025-01-14 13:00:00,2025-01-18,2025-01-17,Webcam,Electronics,1.0,118.2,0.15,100.47,73.81,Online,Same Day,TOR-WH1,East,True,3.0,
O500109,C31381,2025-05-17 00:00:00,2025-05-19,2025-05-22,Office Chair,Furniture,2.0,509.27,0.05,483.81,372.0,Retail,Standard,,Central,False,3.0,Enterprise
O500110,C31596,2025-02-06 02:00:00,2025-02-12,02/15/2025,Notebook Pack,Supplies,2.0,38.78,0.15,32.96,18.31,Retail,Same Day,DAL-WH2,EU,False,3.0,Enterprise
O500111,C31299,2025-02-24 15:00:00,2025-03-03,2025-03-05,Desk Lamp,Furniture,1.0,51.04,0.15,43.38,28.84,Retail,Express ,VAN-WH1,EU,True,1.0,Enterprise
O500112,C31608,30/08/2025 20:00,2025-09-02,2025-09-02,Printer Ink,Supplies,1.0,37.98,0.2,30.38,23.26,Marketplace,Express,BER-WH3,west,False,3.0,Enterprise
O500113,C31659,2025-04-10 19:00:00,2025-04-12,2025-04-12,Keyboard,Electronics,6.0,530.97,0.0,530.97,420.38,Retail,Express,,EU,True,3.0,Enterprise
O500114,C31579,2025-10-23 09:00:00,2025-10-29,2025-10-31,Printer Ink,Supplies,1.0,47.97,0.25,35.98,24.42,online,Express,DAL-WH2,EU,False,2.0,Enterprise
O500115,C30638,2025-01-16 04:00:00,2025-01-20,2025-01-19,Office Chair,Furniture,4.0,847.5,0.05,805.12,566.35,Marketplace,standard,DAL-WH2,EU,False,4.0,Consumer
O500116,C31325,2025-04-07 20:00:00,2025-04-12,2025-04-16,Laptop Stand,Accessories,1.0,38.04,0.1,34.24,24.69,Retail,standard,,west,False,4.0,smb
O500117,C30374,2025-02-08 05:00:00,2025-02-11,2025-02-15,Webcam,Electronics,1.0,97.67,0.1,87.9,55.66,B2B Sales,standard,TOR-WH1,East,False,3.0,
O500118,C30475,2025-07-08 14:00:00,2025-07-15,2025-07-17,"Monitor 27""",Electronics,2.0,591.65,0.0,591.65,441.97,B2B Sales,Standard,DAL-WH2,west,False,4.0,smb
O500119,C31794,2025-12-25 11:00:00,2025-12-31,2025-12-31,Laptop Stand,Accessories,1.0,41.76,0.2,33.41,24.51,Marketplace,Express,TOR-WH1,EU,False,4.0,smb
O500120,C30508,08/08/2025 13:00,2025-08-11,2025-08-11,"Monitor 27""",Electronics,1.0,296.12,0.1,266.51,178.51,online,Standard,TOR-WH1,East,False,4.0,
O500121,C30194,2025-12-17 16:00:00,2025-12-21,12/21/2025,Webcam,Electronics,1.0,110.77,0.15,94.15,70.46,B2B Sales,Same Day,BER-WH3,EU,False,4.0,
O500122,C30802,2025-12-13 03:00:00,2025-12-18,2025-12-19,Office Chair,Furniture,3.0,843.46,0.2,674.77,389.12,Online,Standard,VAN-WH1,Central,False,2.0,Enterprise
O500123,C31378,2025-04-19 19:00:00,2025-04-25,2025-04-24,Mouse,Electronics,2.0,77.43,0.0,77.43,45.49,online,Same Day,DAL-WH2,EU,True,2.0,SMB
O500124,C30065,2025-09-10 18:00:00,2025-09-16,2025-09-18,USB-C Hub,Accessories,2.0,84.82,0.2,67.86,39.25,online,Express ,,EU,False,3.0,Consumer
O500125,C30051,2025-01-25 10:00:00,2025-01-27,2025-01-27,Printer Ink,Supplies,3.0,140.23,0.15,119.2,76.95,Online,Same Day,VAN-WH1,EU,True,3.0,smb
O500126,C30601,2025-08-23 14:00:00,2025-08-25,2025-08-25,Printer Ink,Supplies,4.0,163.39,0.25,122.54,75.62,Marketplace,standard,DAL-WH2,west,False,5.0,Enterprise
O500127,C30519,2025-05-26 03:00:00,2025-05-29,2025-06-01,"Monitor 27""",Electronics,2.0,591.45,0.2,473.16,283.99,online,Standard,TOR-WH1,East,False,3.0,SMB
O500128,C31470,06/08/2025 13:00,2025-08-08,2025-08-08,"Monitor 27""",Electronics,1.0,267.33,0.05,253.96,165.49,Marketplace,Express,TOR-WH1,West,False,4.0,
O500129,C30247,2025-05-22 17:00:00,2025-05-27,2025-05-27,Keyboard,Electronics,2.0,149.3,0.15,126.91,85.3,Retail,Express,TOR-WH1,EU,False,3.0,Enterprise
O500130,C30128,2025-10-16 07:00:00,2025-10-21,2025-10-20,Desk Lamp,Furniture,1.0,56.56,0.15,48.08,33.5,Retail,Standard,DAL-WH2,west,False,4.0,smb
O500131,C31305,2025-08-13 16:00:00,2025-08-18,2025-08-20,USB-C Hub,Accessories,1.0,40.99,0.1,36.89,21.9,Marketplace,Express ,,EU,False,3.0,
O500132,C30673,2025-01-01 18:00:00,2025-01-04,01/03/2025,Desk Lamp,Furniture,3.0,189.63,0.2,151.7,109.23,Retail,Express,BER-WH3,EU,False,4.0,
O500133,C30308,2025-05-04 22:00:00,2025-05-09,2025-05-08,USB-C Hub,Accessories,2.0,110.88,0.2,88.7,50.72,online,Express,BER-WH3,Central,True,3.0,
O500134,C30294,2025-03-03 06:00:00,2025-03-09,2025-03-12,"Monitor 27""",Electronics,4.0,1203.14,0.25,902.36,562.56,B2B Sales,Express,TOR-WH1,EU,True,2.0,Consumer
O500135,C31008,2025-06-06 01:00:00,2025-06-10,2025-06-09,Webcam,Electronics,3.0,353.46,0.15,300.44,201.23,B2B Sales,Express ,VAN-WH1,West,False,4.0,Enterprise
O500136,C30594,27/02/2025 18:00,2025-03-01,2025-03-03,Notebook Pack,Supplies,1.0,19.03,0.15,16.18,12.93,online,Standard,BER-WH3,West,False,3.0,Consumer
O500137,C30797,2025-04-09 07:00:00,2025-04-11,2025-04-15,Mouse,Electronics,2.0,76.98,0.2,61.58,47.35,Retail,Express,DAL-WH2,west,False,4.0,SMB
O500138,C31688,2025-05-10 17:00:00,2025-05-13,2025-05-12,"Monitor 27""",Electronics,4.0,1159.74,0.1,1043.77,608.15,Online,Express,BER-WH3,West,False,3.0,Consumer
O500139,C30992,2025-04-14 18:00:00,2025-04-17,2025-04-18,Webcam,Electronics,2.0,228.45,0.05,217.03,159.45,Marketplace,Express,BER-WH3,Central,False,3.0,Consumer
O500140,C30632,2025-02-03 05:00:00,2025-02-05,2025-02-09,Printer Ink,Supplies,1.0,38.98,0.2,31.18,22.26,online,Express ,TOR-WH1,Central,False,3.0,Consumer
O500141,C30095,2025-06-13 12:00:00,2025-06-20,2025-06-22,Keyboard,Electronics,1.0,76.74,0.15,65.23,48.64,B2B Sales,Standard,VAN-WH1,East,False,,SMB
O500142,C30975,2025-02-10 10:00:00,2025-02-16,2025-02-19,Keyboard,Electronics,1.0,67.65,0.0,67.65,53.23,Online,Standard,VAN-WH1,Central,True,3.0,smb
O500143,C31284,2025-02-22 05:00:00,2025-02-24,02/25/2025,Notebook Pack,Supplies,2.0,38.66,0.05,36.73,28.4,Marketplace,Express,,East,False,,Enterprise
O500144,C31306,15/04/2025 02:00,2025-04-19,2025-04-18,Desk Lamp,Furniture,2.0,140.84,0.05,133.8,74.3,Marketplace,standard,TOR-WH1,Central,False,4.0,SMB
O500145,C30158,2025-09-30 06:00:00,2025-10-02,2025-10-04,Printer Ink,Supplies,2.0,90.2,0.2,72.16,53.6,Retail,standard,VAN-WH1,West,True,2.0,Consumer
O500146,C31215,2025-12-26 16:00:00,2026-01-02,2026-01-05,Office Chair,Furniture,3.0,758.54,0.1,682.69,495.67,Marketplace,Express ,VAN-WH1,East,True,4.0,smb
